Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Purchase,Collection Purchase - Detail,Collection Lyrics,Collection MoFi Sleeve,Collection 1st Play,Collection 2nd Play,Collection 3rd Play,Collection 4th Play,Collection 5th Play,Collection 6th Play,Collection 7th Play,Collection 8th Play,Collection 9th Play,Collection 10th Play,Collection Purchase Date,Collection Color,api_url,genre,style,num_songs,format,format_qty,community_have,community_want,rating_avg,rating_count,date_played,year,runtime
"389663 9, 3896639",Angèle (3),Nonante-Cinq,"Angèle VL Records, Angèle VL Records","LP, Album, Gat",NA,2021,21224689,Vinyl LPs (New),12/29/2021 13:37,Mint (M),Mint (M),eBay,rarewaves-usa,No,Yes,1/1/2022,2/10/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/21224689,Pop,Bubblegum,12,Vinyl,1,1577,162,4.44,66,1/1/2022,2021,43.3
XLLP583,Atoms For Peace (2),Amok,XL Recordings,"2x12"", Album",4,2013,4321323,Vinyl LPs (New),2/21/2015 18:09,Mint (M),Mint (M),UO,NA,NA,NA,2/27/2015,1/2/2022,5/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4321323,Electronic,IDM,9,Vinyl,2,4615,611,4.24,337,1/2/2022,2013,44.68
YT098,FKA Twigs,EP2,Young Turks,"12"", EP",4,2013,4889833,Vinyl LPs (New),5/28/2015 6:31,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,NA,5/30/2015,1/14/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4889833,Electronic,Downtempo,4,Vinyl,1,2544,950,4.39,201,1/14/2022,2013,15
MRG369,Destroyer (4),Kaputt,Merge Records,"2xLP, Album",NA,2011,2673671,Vinyl LPs (New),3/30/2016 5:02,Mint (M),Mint (M),Label,Merge Records,Yes,No x2,1/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2673671,Electronic,Art Rock,10,Vinyl,2,4546,1072,4.58,391,1/15/2022,2011,50.15
YT142,FKA Twigs,M3LL155X,Young Turks,"12"", EP",NA,2015,7802600,Vinyl LPs (New),9/12/2021 6:27,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,Yes,9/14/2021,1/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/7802600,Electronic,Trip Hop,5,Vinyl,1,3936,1390,4.36,259,1/15/2022,2013,18.66
YT191LP,FKA twigs,Magdalene,Young Turks,"LP, Album",NA,2019,14353641,Vinyl LPs (New),9/12/2021 6:30,Mint (M),Mint (M),"Park Ave CDs
",NA,Yes,Yes,9/14/2021,1/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/14353641,Electronic,Downtempo,9,Vinyl,1,3110,1017,4.64,166,1/15/2022,2019,38.8
YTLP118,FKA Twigs,LP1,Young Turks,"LP, Album, Dee",4,2014,5964177,Vinyl LPs (New),9/17/2014 16:48,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,NA,9/15/2014,10/18/2014,1/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5964177,Electronic,Ethereal,10,Vinyl,1,5938,1232,4.29,407,1/15/2022,2014,40.77
"EPC 478432, 19075997191",Suprême NTM,Paris Sous Les Bombes,"Epic, Legacy","2xLP, Album, Ltd, RE, Whi",NA,2019,14459392,Vinyl LPs (New),1/18/2022 16:09,Mint (M),Near Mint (NM or M-),eBay,get_importcds,No,No x2,1/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White, White",https://api.discogs.com/releases/14459392,Hip Hop,Boom Bap,21,Vinyl,2,179,103,4.67,9,1/22/2022,1995,61.8
88875-05655-1,D'Angelo And The Vanguard (3),Black Messiah,RCA,"2xLP, Album",NA,2015,6625795,Vinyl LPs (New),7/6/2016 15:12,Mint (M),Mint (M),UO,NA,NA,Yes x2,6/7/2015,1/28/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/6625795,Funk / Soul,Soul,12,Vinyl,2,9064,2559,4.66,665,1/28/2022,2014,55.9
RDR004,J Dilla,Rebirth Of Detroit Instrumentals,Ruff Draft Records,"2xLP, Album",4,2013,4493237,Vinyl LPs (New),5/13/2015 17:53,Mint (M),Mint (M),UO,NA,NA,NA,5/19/2015,1/28/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4493237,Hip Hop,Instrumental,12,Vinyl,2,1094,661,4.45,74,1/28/2022,2014,64
"STH2126, STH2126 A, STH2126 B, STH2126 C, STH2126",J Dilla,Donuts,"Stones Throw Records, Stones Throw Records, Stones Throw Records, Stones Throw Records, Stones Throw Records","2x12"", Album, MP, Num, Gat + 12"" + Club, RE, 180",5,2015,6784565,Vinyl LPs (New),3/21/2015 11:59,Mint (M),Mint (M),Label,Vinyl Me Please,NA,NA,3/21/2015,1/28/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clear, Clear",https://api.discogs.com/releases/6784565,Hip Hop,Instrumental,31,Vinyl,2,2352,1066,4.52,226,1/28/2022,2006,43.42
B0022835-01,D'Angelo,Voodoo,"Virgin, UMe","2xLP, Album, RE, Whi",5,2015,6975598,Vinyl LPs (New),8/15/2015 18:14,Near Mint (NM or M-),Near Mint (NM or M-),eBay,NA,Yes,Yes x2,8/16/2015,1/28/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White, White",https://api.discogs.com/releases/6975598,Hip Hop,Soul,13,Vinyl,2,1846,970,4.69,119,1/28/2022,2000,78.9
1.90295E+11,Various,Psyché France Seventies Volume 7,Warner Music France,"LP, RSD, Comp",NA,2021,19115542,Vinyl LPs (New),6/21/2021 9:36,NA,NA,"Other
",Discogs,NA,Yes,1/30/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/19115542,Rock,Psychedelic Rock,12,Vinyl,1,531,73,3.31,29,1/30/2022,2021,38
DNO310,Animal Collective,Centipede Hz,Domino,"2xLP, Album",4,2012,3865744,Vinyl LPs (New),12/29/2013 0:47,Mint (M),Mint (M),"Bananas
",NA,NA,NA,9/6/2014,2/1/2022,7/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/3865744,Electronic,Experimental,11,Vinyl,2,1623,233,3.86,140,2/1/2022,2012,53.62
"DOC250, DOC250LP-C2",Mitski,Laurel Hell,"Dead Oceans, Dead Oceans","LP, Album, Ltd, Red",NA,2022,21986146,Vinyl LPs (New),2/2/2022 13:34,Mint (M),Mint (M),Label,Secretly Group,Yes,No,2/2/2022,5/30/2022,3/27/2023,NA,NA,NA,NA,NA,NA,NA,NA,Red/Black,https://api.discogs.com/releases/21986146,Rock,Indie Rock,11,Vinyl,1,2486,633,4.48,77,2/2/2022,2022,32.42
